FID,Lat,Long,TOT_POP,BU_TOT
187,6.77639,2.47861,2485,6
188,6.93611,1.73333,1400,2
189,7.7208,2.20438,426,1
190,7.76537,2.18688,550,0
191,6.58389,1.77639,1850,0
192,6.81806,1.6375,2528,0
193,6.80333,1.77528,3018,1
194,6.66806,2.48472,824,1
195,7.00139,2.39028,889,4
196,7.0319443,1.9777777,3780,0
197,7.21889,2.10556,14216,2
198,6.94556,1.77639,1602,1
199,7.39361,2.11111,1832,7
200,7.10139,1.86806,2044,0
201,7.1513891,2.0097222,1143,1
202,7.8361111,2.2266667,3758,0
203,7.1144443,2.0008333,2596,2
204,6.6294446,2.0930555,11856,0
205,7.1966667,2.063611,1215,1
206,6.71889,1.96583,1261,2
207,6.90111,2.55667,2457,2
208,6.9055557,1.9097222,12492,0
209,6.77806,1.84111,8587,1
210,6.82417,2.13417,487,2
211,6.9069443,2.4449999,36954,0
212,7.07111,1.74861,438,1
213,7.10806,1.66806,1051,0
214,6.81611,1.85167,1491,3
215,7.16389,2.54694,1763,0
216,6.97167,2.24167,10030,1
217,6.93667,1.84417,1345,1
218,6.81634,1.80524,360037,0
219,7.42694,1.85417,8806,0
220,7.0736113,2.5291667,1899,4
221,7.2380557,2.0147221,1010,2
222,7.26278,2.54167,5247,1
223,7.15556,2.04722,2263,0
224,6.5083332,1.9533334,6179,0
225,6.91667,2.02361,675,3
226,6.51667,1.97167,1008,1
227,7.15,2.08333,3152,0
228,7.1666667,2.4,12160,29
229,7.09028,2.23889,1812,2
230,6.867,2.10833,1062,1
231,6.50556,2.05833,545,0
232,6.4058332,1.9636111,1142,0
233,7.16944,2.07222,12081,0
234,7.20833,2.01722,840,0
235,6.6347222,2.2236111,16124,0
236,7.49861,2.075,2895,2
237,6.86861,2.51111,1020,2
238,6.81611,2.54389,2172,2
239,6.68333,2.5,1485,5
240,7.77,2.29633,12278,0
241,7.17222,2.10139,11429,1
242,6.8372221,1.8469445,442,1
243,6.90528,1.94722,2134,2
244,6.88889,1.68056,11998,0
246,6.88722,1.965,2349,1
247,7.23889,2.16194,636,1
248,6.8166666,2.1027777,537,0
249,6.94389,1.97472,1040,13
250,6.6574998,1.9133333,8034,0
251,6.90194,2.51444,2859,8
252,6.98472,1.8875,1222,1
254,7.82722,1.66305,2887,0
255,6.95,1.87222,9868,2
256,6.9275,2.06333,1056,4
257,7.09583,2.40972,1320,2
259,7.15833,2.125,802,2
260,6.8141665,2.1080556,4890,0
262,6.83889,2.03806,1378,2
263,6.895,1.85861,1108,2
264,7.0580554,1.8288889,1697,1
