"","Lat","Long","TOT_POP","BU_TOT","FID","MeanTemp","Precip_mm","MeanFCPerc","StdDevFCPerc","FLOSS_ha","FGAIN_ha","Forest","Agric","ShrGra","Urb","Water","MeanNDVI","SdNDVI"
"34",6.81634,1.80524,360037,0,218,27,1042,22.86030115,6.959063677,94.43852378,10.81568225,0.02,0.92,0.06,0,0,0.3244117206875,0.208144344859706
"35",6.80806,1.82167,628,1,172,27.2,1023,23.84229,7.26868674,111.6183,12.05924384,0.01,0.98,0.01,0,0,0.3052913678125,0.127660531964781
"36",6.73583,1.75583,1262,2,59,27.1,1041,18.99216138,7.197536494,63.00108716,7.737464848,0.04,0.9,0.05,0,0,0.218237319,0.090531902952547
"37",6.7280555,1.7683333,965,2,14,27,1042,18.11181513,7.109447251,70.66933794,43.39607034,0.04,0.94,0.02,0,0,0.2342313360625,0.0726959776232507
"38",6.66528,1.79667,1257,3,97,27.5,997,23.47928447,8.587387799,109.2474432,17.3373689,0.04,0.93,0.01,0,0.02,0.3125782766875,0.104073519634604
"39",6.70083,1.80306,2761,1,178,27.4,1010,22.66905625,9.694217393,186.1018723,50.65694576,0,1,0,0,0,0.3502002759375,0.160583492811613
"40",6.58389,1.77639,1850,0,191,27.4,983,17.74693308,7.372368905,33.4265714,3.233540586,0.16,0.67,0.07,0,0.09,0.31206177505,0.154368502828221
"41",6.66722,1.69361,503,0,297,27.5,1017,20.79676228,7.695267746,133.5351356,19.17401134,0.09,0.79,0.11,0,0.01,0.255712357375,0.0661088762158471
"42",6.7013888,1.6919445,740,0,23,27.6,1012,22.48981275,8.044967793,37.8823017,8.265660694,0.08,0.85,0.04,0,0.03,0.3962356419375,0.142135766203135
"43",6.66111,1.66083,1431,2,134,27.5,1011,23.57218973,7.35012055,44.81293632,10.14662945,0.03,0.95,0.01,0,0,0.2756997377,0.099550208569126
"44",6.60333,1.63056,2649,2,153,27.4,984,18.38222559,5.175755587,53.88697974,0.8882061829,0.05,0.81,0.14,0,0.01,0.33386828445,0.171497822601804
"45",6.58806,1.65722,10622,0,11,27.4,984,19.88001162,7.478018211,62.83750087,3.413890095,0.02,0.87,0.11,0,0,0.2854691146,0.145430920664921
"46",6.50333,1.78611,666,1,165,27.4,949,19.90552901,5.206685646,79.09843776,12.20238372,0.01,0.95,0.01,0,0.03,0.3629999461,0.202505721241733
"47",6.46528,1.80167,4852,0,101,27.4,931,18.22095459,5.111024923,182.5644671,2.390407988,0.01,0.83,0.13,0,0.03,0.29602258535,0.184674239638893
"48",6.43083,1.89167,2126,0,15,27.2,973,14.23736615,3.480798448,48.3087031,2.221241272,0.04,0.78,0.16,0.01,0.01,0.35374192955,0.204592662464391
"49",6.42111,1.89111,10519,2,149,27.3,968,12.75386777,4.872840337,45.9520619,2.033787639,0.03,0.75,0.21,0.01,0,0.3087151765,0.172908767515791
"50",6.4058332,1.9636111,1142,0,232,27.3,1016,12.96208045,8.670011874,55.77715465,6.255738416,0.33,0.14,0.23,0,0.3,0.2456344817,0.129887073023359
"51",6.5083332,1.9533334,6179,0,224,27.4,967,9.673263404,5.64095831,20.80697075,1.066043335,0.31,0.22,0.1,0.01,0.36,0.23641012575,0.13809577745896
"52",6.51667,1.97167,1008,1,226,27.5,966,3.595369661,5.506310244,6.167934047,0.1776721558,0.2,0.13,0.15,0.01,0.51,0.000869806250000001,0.100123917496997
"53",6.53389,1.84722,1088,2,91,27.2,965,17.7505671,5.339472157,75.15374599,15.03024362,0.01,0.98,0.01,0,0,0.28728907205,0.194642780837278
"54",6.56722,1.86917,22099,2,118,27.1,980,16.31889253,6.328032589,61.70194526,6.57559359,0.1,0.88,0.02,0,0,0.31233142525,0.181882068542947
"55",6.55972,1.83611,1580,0,298,27.2,975,19.43602746,7.054395219,91.503929,11.66952488,0.05,0.93,0.02,0,0,0.28431368225,0.159014444956356
"56",6.59306,1.86528,1204,1,181,27.1,985,20.04970232,6.521431367,79.65121073,17.93742913,0.15,0.83,0.03,0,0,0.3751275389,0.218919980317319
"57",6.66667,1.85833,5509,0,126,27.5,977,21.911651,5.629539417,44.99046392,16.77096279,0.11,0.82,0.07,0,0,0.3507148324375,0.20386449163408
"58",6.729722,1.8541667,1143,0,156,27.6,987,22.09773867,5.249413012,29.44490204,4.17351015,0.02,0.97,0,0,0,0.3051097403125,0.199845997170977
"59",6.72861,1.87194,1208,0,279,27.5,987,22.98888131,5.788154613,49.17203293,11.20224117,0.02,0.98,0,0,0,0.2808442761875,0.177458049673098
"60",6.71889,1.96583,1261,2,206,27.5,979,21.65320578,4.530739652,36.62919052,8.64261809,0.04,0.93,0.03,0,0,0.2811430403125,0.159223662524729
"61",6.65,1.9875,1960,1,18,27.6,956,18.05794503,4.777137364,44.18321739,8.461843258,0.04,0.91,0.05,0,0,0.333221704125,0.18884254269851
"62",6.6574998,1.9133333,8034,0,250,27.2,973,19.23478548,4.666127802,90.98865498,13.44081191,0.12,0.79,0.09,0,0,0.36304629925,0.218972505930261
"63",6.60611,2.00139,947,1,85,27.5,958,14.87358901,8.042783082,76.00848514,12.1638088,0.07,0.7,0.08,0,0.14,0.338810319875,0.18939109226082
"64",6.68194,2.025,1034,2,177,27.4,989,21.05671632,5.889118539,32.33297492,11.65564223,0.07,0.86,0.08,0,0,0.3554872325625,0.176435877868691
"65",6.668611,2.0427778,3987,0,63,27.3,999,21.10163499,6.002687151,73.48493503,14.8944596,0.04,0.93,0.03,0,0,0.3610596499375,0.190278582069617
"66",6.66,2.05194,1115,0,10,27.1,1016,20.19873821,5.274668994,100.0435945,15.91199146,0.02,0.97,0.01,0,0,0.4232978583125,0.209905571511156
"67",6.6694446,2.0680556,3535,2,265,27.1,1028,21.24259237,5.888619969,94.93119391,22.41856942,0.01,0.99,0,0,0,0.3380321125,0.140597564952281
"68",6.74167,2.06667,949,1,162,27,1040,23.32704501,6.19196278,57.96560538,42.53208906,0,0.99,0.01,0,0,0.405996030125,0.204704608001507
"69",6.6294446,2.0930555,11856,0,204,27,1039,20.54721442,7.648474098,174.2758709,23.29339379,0.01,0.99,0,0,0,0.23994041075,0.11010906253219
"70",6.583889,2.1275001,2258,3,73,27.1,1053,19.39502251,7.335288756,126.8390148,57.59207457,0.02,0.97,0.01,0,0,0.26778849125,0.156904931033176
"71",6.49444,2.1425,1418,0,268,27.2,1082,18.56095865,6.28651781,68.51875571,8.904780636,0.01,0.31,0.68,0,0,0.2392177911,0.151457213425243
"72",6.5500002,2.1027777,6457,0,74,27.2,1044,20.05031879,7.052905719,116.7419178,32.71638734,0.02,0.92,0.06,0,0,0.29234947075,0.184341900771059
"73",6.57028,2.01083,1091,0,93,27.4,971,17.68613452,9.208879402,117.3405208,19.97451455,0.18,0.54,0.06,0,0.22,0.3074467327,0.192515834152634
"74",6.5586109,1.9991667,6640,0,159,27.5,962,12.07175066,8.878335836,47.14491739,8.351251857,0.24,0.3,0.1,0,0.35,0.24066472985,0.0957023476592749
"75",6.5041666,2.0022223,8930,0,266,27.3,994,10.0117211,8.600955934,23.59939299,1.3325526,0.22,0.09,0.31,0,0.38,0.1745567947,0.0518528404270363
"76",6.50556,2.05833,545,0,231,27.2,1027,17.18945883,5.233910743,111.9696707,11.90489919,0.23,0.54,0.22,0,0,0.3261009142,0.167567491901458
"77",6.41944,2.13333,1448,0,122,27.3,1111,16.93786854,8.188045196,66.61684523,1.521625221,0.1,0.17,0.65,0.03,0.05,0.3117834929,0.184582273291089
"78",6.5083332,2.1769445,2677,0,270,27.2,1092,16.60720976,4.628658192,65.49098131,9.292930854,0.03,0.65,0.33,0,0,0.2653289805,0.161954346685782
"79",6.5108333,2.1794446,958,1,69,27.2,1092,16.64112238,4.542649663,62.49661706,11.10446824,0.03,0.67,0.3,0,0,0.2734241076,0.156259606896499
"80",6.5708332,2.1724999,11952,0,269,27.1,1079,18.33394899,5.328688848,76.82661823,27.76412741,0.01,0.98,0.01,0,0,0.368466874125,0.188310463695028
"81",6.49278,2.21083,4444,0,64,27.2,1113,17.54906212,4.740566408,64.92940727,10.36036525,0.04,0.85,0.11,0,0,0.32030131115,0.218305650383495
"82",6.4175,2.3363888,61450,0,2,27.2,1181,6.106811145,4.366925965,8.947521604,0,0.29,0.15,0.26,0.18,0.12,0.14458317755,0.0746248009676121
"83",6.4893,2.32654,12481,0,267,27.2,1161,13.41510826,3.521061271,40.97361673,0.9772262207,0.23,0.68,0.09,0,0,0.2185465009,0.152759254421682
"84",6.61667,2.35,3152,13,292,27.4,1128,15.79628396,4.997597099,46.19951517,6.48643542,0.04,0.96,0,0,0,0.3084694430625,0.185995467599027
"85",6.57778,2.39778,8760,0,35,27.5,1157,14.11518521,4.881182868,4.08458466,0.08882492676,0.06,0.74,0.2,0,0,0.271224817823529,0.149427630899096
"86",6.60694,2.45417,5505,13,128,27.5,1174,15.46472876,5.107856428,8.264090313,1.421096185,0.02,0.97,0.01,0,0,0.349719114666667,0.179626904312731
"87",6.61667,2.45389,1897,1,17,27.6,1165,14.26248486,4.796652485,7.058121416,1.865173804,0.04,0.96,0.01,0,0,0.339100494222222,0.152854524259803
"88",6.65972,2.45417,479,2,129,27.6,1151,11.97360873,3.245186118,2.139473401,0.08881210327,0.06,0.93,0.01,0,0,0.308852871666667,0.176060401312071
"89",6.6750002,2.3672223,7421,0,186,27.4,1121,17.10794849,4.432363459,38.17124988,9.828449059,0.01,0.99,0,0,0,0.313217682625,0.178504726639734
"90",6.7122221,2.3194444,1598,7,48,27.2,1107,21.42451924,7.349712988,117.1111743,49.01845136,0,1,0,0,0,0.334953913375,0.136850705411259
"91",6.72083,2.28528,10987,0,290,27.2,1099,18.42283869,6.002552289,60.89291229,17.16848334,0,1,0,0,0,0.266364740375,0.133556482421537
"92",6.7052779,2.2683334,5606,0,8,27.1,1099,18.41074165,4.53742266,27.17003211,29.00549639,0,1,0,0,0,0.3738839764375,0.20165845197817
"93",6.73139,2.22806,3830,0,92,27,1090,19.98104928,5.463170312,43.19892749,39.06611228,0,1,0,0,0,0.3225797745625,0.183515116139124
"94",6.604722,2.3008335,4989,1,281,27.2,1123,15.14731623,4.058838955,40.39188538,3.352846886,0.02,0.97,0.01,0,0,0.2827837750625,0.17852639164656
"95",6.60193,2.22393,801683,0,61,27.1,1095,17.30778763,3.517764883,28.80582758,44.23682613,0.08,0.89,0.04,0,0,0.3035827885,0.154189790015852
"96",6.6347222,2.2236111,16124,0,235,27,1092,16.57826336,5.127135638,57.27838109,5.324367068,0.09,0.86,0.05,0,0,0.19233362975,0.064565826437397
"97",6.72611,2.16389,6230,0,62,26.9,1078,22.3733122,8.434303156,94.38836254,18.12251918,0,1,0,0,0,0.2077203909375,0.0898111792200832
"98",6.7880554,2.2833333,583,7,157,27.3,1083,19.46681772,5.600667136,96.04240049,46.90459663,0,1,0,0,0,0.3492526119375,0.189483304984889
